,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0,1.34,1.26,4,613085.32,Feeder_800,ESALG,AOLAD,GAPOG,GHTKD,ESALG,,
1,0,1.34,1.26,2,191648,Feeder_450,ESALG,SNDKR,ESALG,,,,
2,0,1.34,1.26,2,303768.43,Feeder_800,ESALG,GNCKY,ESALG,,,,
3,0,1.34,1.26,5,598002,Feeder_450,ESALG,CGPNR,CDMAT,AOLOB,CDBOA,ESALG,
4,0,1.34,1.26,3,460689.57,Feeder_800,ESALG,NGAPP,ESALG,,,,
5,0,1.34,1.26,3,282945.67,Feeder_450,ESALG,GWOXB,ESALG,,,,
6,0,1.34,1.26,3,465778.46,Feeder_800,ESALG,CIABJ,LRMLW,SLFNA,ESALG,,
7,0,1.34,1.26,4,408253.67,Feeder_450,ESALG,DJJIB,ESALG,,,,
8,0,1.34,1.26,4,598786.36,Feeder_800,ESALG,TGLFW,BJCOO,CMDLA,GALBV,ESALG,
9,1,1.43,1.25,4,570020.25,Feeder_800,ESALG,GWOXB,BJCOO,TGLFW,ESALG,,
10,1,1.43,1.25,5,754725.43,Feeder_800,ESALG,CDBOA,AOLOB,AOLAD,CDMAT,CGPNR,ESALG
11,1,1.43,1.25,4,656055.71,Feeder_800,ESALG,GAPOG,GALBV,CMDLA,NGAPP,CIABJ,ESALG
12,1,1.43,1.25,4,459610.83,Feeder_450,ESALG,GNCKY,SLFNA,LRMLW,GHTKD,ESALG,
13,2,0.58,1.2,4,620100.04,Feeder_800,ESALG,BJCOO,CMDLA,GALBV,GAPOG,ESALG,
14,2,0.58,1.2,3,465104.71,Feeder_800,ESALG,NGAPP,CIABJ,ESALG,,,
15,2,0.58,1.2,4,420966.5,Feeder_450,ESALG,CIABJ,LRMLW,SLFNA,ESALG,,
16,2,0.58,1.2,3,426187.5,Feeder_800,ESALG,TGLFW,GHTKD,ESALG,,,
17,3,1.19,1.14,3,405023.5,Feeder_800,ESALG,GHTKD,CIABJ,ESALG,,,
18,3,1.19,1.14,5,794840.71,Feeder_800,ESALG,CDBOA,AOLAD,AOLOB,CDMAT,CMDLA,ESALG
19,3,1.19,1.14,4,646694.39,Feeder_800,ESALG,NGAPP,GALBV,GAPOG,CGPNR,ESALG,
20,3,1.19,1.14,4,594381.25,Feeder_800,ESALG,BJCOO,TGLFW,LRMLW,SLFNA,GNCKY,ESALG
21,4,1.16,0.66,4,644479.68,Feeder_800,ESALG,NGAPP,GAPOG,CDMAT,ESALG,,
22,4,1.16,0.66,2,243137.64,Feeder_800,ESALG,SNDKR,ESALG,,,,
23,4,1.16,0.66,5,590025.17,Feeder_450,ESALG,CGPNR,AOLOB,AOLAD,CDBOA,ESALG,
24,4,1.16,0.66,4,598786.36,Feeder_800,ESALG,GALBV,CMDLA,BJCOO,TGLFW,ESALG,
25,4,1.16,0.66,4,389466.33,Feeder_450,ESALG,GNCKY,GWOXB,ESALG,,,
26,4,1.16,0.66,4,536740.07,Feeder_800,ESALG,CIABJ,GHTKD,LRMLW,SLFNA,ESALG,
27,5,1.33,0.58,4,531345.64,Feeder_800,ESALG,NGAPP,BJCOO,TGLFW,ESALG,,
28,5,1.33,0.58,6,663628.17,Feeder_450,ESALG,AOLOB,AOLAD,CDBOA,CGPNR,CDMAT,ESALG
29,5,1.33,0.58,4,616571.32,Feeder_800,ESALG,CMDLA,GALBV,GAPOG,GHTKD,ESALG,
30,5,1.33,0.58,3,494325.5,Feeder_800,ESALG,GNCKY,SLFNA,LRMLW,CIABJ,ESALG,
31,6,0.94,0.8,3,426187.5,Feeder_800,ESALG,GHTKD,TGLFW,ESALG,,,
32,6,0.94,0.8,4,604577.64,Feeder_800,ESALG,CGPNR,GAPOG,GALBV,ESALG,,
33,6,0.94,0.8,4,584863.5,Feeder_800,ESALG,CMDLA,NGAPP,BJCOO,ESALG,,
34,6,0.94,0.8,5,619535.5,Feeder_450,ESALG,CDBOA,AOLOB,AOLAD,CDMAT,ESALG,
35,6,0.94,0.8,3,494325.5,Feeder_800,ESALG,CIABJ,LRMLW,SLFNA,GNCKY,ESALG,
36,7,0.73,1.36,3,434117.64,Feeder_800,ESALG,BJCOO,TGLFW,ESALG,,,
37,7,0.73,1.36,4,473936.17,Feeder_450,ESALG,GHTKD,GALBV,GAPOG,ESALG,,
38,7,0.73,1.36,5,761115.96,Feeder_800,ESALG,CDMAT,CGPNR,CDBOA,AOLAD,AOLOB,ESALG
39,7,0.73,1.36,4,420966.5,Feeder_450,ESALG,SLFNA,LRMLW,CIABJ,ESALG,,
40,7,0.73,1.36,4,578773.36,Feeder_800,ESALG,NGAPP,CMDLA,ESALG,,,
41,8,0.89,0.63,3,457969.86,Feeder_800,ESALG,GNCKY,SLFNA,CIABJ,ESALG,,
42,8,0.89,0.63,5,573842.83,Feeder_450,ESALG,AOLAD,CDBOA,GAPOG,ESALG,,
43,8,0.89,0.63,4,554526.46,Feeder_800,ESALG,NGAPP,LRMLW,ESALG,,,
44,8,0.89,0.63,5,565000.5,Feeder_450,ESALG,CDMAT,CGPNR,AOLOB,ESALG,,
45,8,0.89,0.63,4,586480.11,Feeder_800,ESALG,CMDLA,GALBV,GHTKD,ESALG,,
46,9,1.45,0.97,5,619535.5,Feeder_450,ESALG,CDBOA,AOLAD,AOLOB,CDMAT,ESALG,
47,9,1.45,0.97,3,359915.07,Feeder_800,ESALG,GWOXB,ESALG,,,,
48,9,1.45,0.97,4,606068.11,Feeder_800,ESALG,CMDLA,GAPOG,CGPNR,ESALG,,
49,9,1.45,0.97,3,464266.71,Feeder_800,ESALG,NGAPP,GHTKD,ESALG,,,
50,9,1.45,0.97,4,459979.83,Feeder_450,ESALG,GALBV,BJCOO,TGLFW,ESALG,,
51,9,1.45,0.97,3,465778.46,Feeder_800,ESALG,SLFNA,LRMLW,CIABJ,ESALG,,
52,10,1.31,1.31,4,604577.64,Feeder_800,ESALG,GALBV,GAPOG,CGPNR,ESALG,,
53,10,1.31,1.31,4,449939.17,Feeder_450,ESALG,CMDLA,BJCOO,TGLFW,ESALG,,
54,10,1.31,1.31,3,477002.07,Feeder_800,ESALG,SLFNA,LRMLW,GHTKD,ESALG,,
55,11,1.37,1.4,4,640352.93,Feeder_800,ESALG,TGLFW,BJCOO,NGAPP,GALBV,CMDLA,ESALG
56,11,1.37,1.4,3,442310.21,Feeder_800,ESALG,CIABJ,GHTKD,LRMLW,ESALG,,
57,11,1.37,1.4,5,618931.33,Feeder_450,ESALG,GAPOG,CDBOA,AOLAD,AOLOB,ESALG,
58,11,1.37,1.4,3,476323.39,Feeder_800,ESALG,SLFNA,GNCKY,GWOXB,ESALG,,
59,11,1.37,1.4,4,573629.68,Feeder_800,ESALG,CGPNR,CDMAT,ESALG,,,
60,12,0.97,1.33,4,596075.5,Feeder_800,ESALG,TGLFW,CMDLA,NGAPP,BJCOO,GHTKD,ESALG
61,12,0.97,1.33,3,455503.04,Feeder_800,ESALG,GNCKY,SLFNA,LRMLW,ESALG,,
62,12,0.97,1.33,4,608315.64,Feeder_800,ESALG,CIABJ,CGPNR,GAPOG,GALBV,ESALG,
